ONOS1,ONOS2,ONOS3,ONOS4,ONOS5
3480,1020,4600,3700,4480
5280,2400,7320,9400,6960
4340,3780,4560,4300,6040
3060,1560,3700,3140,3540
4240,3860,5240,4880,5260
5760,5920,5560,5660,5940
1920,1340,3440,2680,4460
5920,3580,7040,5880,6240
2220,2000,2560,3500,4900
6760,3400,6200,5300,5260
5280,5260,4980,5300,5300
2740,2060,2760,2820,4380
4620,3800,6180,11100,6660
4080,2420,3980,4380,4600
4780,4340,6020,5060,5440
8220,3540,7540,6800,5680
2300,420,3360,4600,4580
6920,3400,5240,5660,6160
5800,4460,4940,5860,9660
3520,420,2360,4420,4380
4420,4380,6080,8480,6560
2960,2080,4100,9160,6800
3520,2700,3720,3060,3040
5960,4320,6140,6660,7500
3720,2580,3580,3260,3700
5460,3080,6360,5260,5780
2760,1620,2820,3160,7500
6060,3600,6860,5600,7060
3600,1640,3400,3420,6980
5440,2880,6280,6640,5040
5220,3740,5920,6340,6280
1780,860,5480,3460,4220
6200,2480,4020,5540,6680
7660,3580,6440,5580,6480
1880,2540,5560,4180,2280
3900,3480,5300,5320,5200
2300,380,3820,4900,4260
3500,3540,5460,4880,5800
3220,4060,5720,6220,6760
4980,4140,6060,4240,4820
4760,4580,7100,6140,6520
5320,3080,2300,4460,4660
6080,2840,5340,5360,5460
7280,4060,5120,5160,10300
7520,3280,7680,7840,7140
5600,2760,4120,4820,4800
6020,2120,7400,7640,6700
3480,3300,3760,1620,1940
2120,1600,2200,2100,3120
860,400,560,1120,1500
500,320,960,960,2340
2680,1060,1040,2340,1680
2640,1680,2660,2740,2400
1200,1340,1060,1440,1860
1700,2260,1680,1520,1720
2140,1340,2780,4040,3020
3420,2460,3780,3120,4260
6440,3180,6280,6840,6840
5840,4720,6480,5820,7640
5900,3240,6340,5560,6440
4300,3720,5180,5140,5460
5140,4020,6480,6480,7320
3920,3440,5400,4680,5420
5480,3180,5800,6400,6080
4100,3120,4040,3880,3200
6540,4000,6860,6780,6440
2860,2380,3700,3480,2960
5920,2120,5640,5980,4720
4120,2680,4600,2660,3520
4800,1980,5260,12560,6180
3660,1840,3520,5380,6120
5080,3380,6480,6580,5660
4660,3120,6340,7040,6280
2600,2440,3340,3200,3200
6420,5700,5460,6440,5960
5100,2620,5160,5720,6800
6180,3860,7960,7460,8060
5820,1900,6260,9360,5900
4720,1840,4480,4380,5220
2880,2600,2360,6580,2760
4040,5100,4700,4560,4320
7520,3540,5440,7160,5940
4300,2280,4440,4880,11280
5720,3760,6580,5340,5480
3060,5280,9700,4640,4480
3220,1900,2600,10840,13060
3840,2520,3460,4260,3300
6340,3840,6900,6800,6540
2540,1940,3780,4000,4560
11000,5300,6540,4880,6140
2400,2820,3980,3060,3020
3840,4160,6540,5540,6220
3560,2100,8680,7780,5880
1640,2620,1860,1960,2000
4540,4540,7380,6560,11200
5220,1580,4300,3660,5100
5500,3960,6460,6040,7660
8580,5080,8720,7260,5460
2880,840,2520,3200,5780
5900,3960,5840,6800,6800
9320,3660,4160,6560,6500
1840,1540,1540,3020,1200
2640,1780,2160,2260,1560
2700,1120,1640,1840,2240
1560,1080,640,420,240
1760,1820,1800,2160,2160
2980,2360,2120,2060,2020
1020,940,980,2080,2000
2920,2220,620,1920,1960
2000,1000,2040,1680,1580
1900,760,2040,1680,2160
2040,2280,1620,1920,2000
2540,780,2140,2080,2580
2000,1860,1580,540,960
2000,1500,1540,1360,840
960,1720,2000,1960,2100
160,160,600,1200,1200
840,1200,380,160,1340
2140,100,1260,1380,1200
880,180,1200,1600,1200
880,880,1200,2640,1940
1260,0,2240,1940,2240
1300,1340,1640,1500,1500
2680,2440,1820,2200,2000
1480,540,2660,3140,2740
2280,2440,1860,1680,2160
1880,2060,2540,2420,2960
820,800,1200,1600,2080
1660,1760,2340,2260,2000
1980,0,1740,1900,1840
1200,1120,1220,3180,2980
1880,1560,2320,2960,2800
440,320,880,1580,1880
1980,1720,2060,1080,1260
1440,1000,660,400,240
720,620,860,1540,1420
2860,2340,1980,1780,2160
1760,940,1700,1800,1840
1200,1140,1160,340,720
1840,1740,1440,1200,960
2240,920,2160,2060,2160
1700,1600,1500,1180,660
2180,1200,1400,2120,2060
1560,1680,2260,2960,3000
1560,1500,2380,2500,3060
2660,0,2660,1980,2060
1460,1700,2140,2740,3000
1200,620,1460,1780,2420
820,360,1360,1100,1200
900,620,340,320,320
1880,2000,1720,2380,1480
1480,1200,2960,880,840
1180,520,1200,1320,1200
480,580,200,1480,1360
320,640,560,820,1160
1140,440,1360,1200,1200
840,680,160,280,400
1240,880,960,1060,1080
1080,860,480,1100,800
740,820,1340,2000,2660
1200,960,2900,1200,960
3120,800,2560,2480,2180
4680,1880,3500,3840,3520
2340,3080,3980,3540,3920
6440,3900,6960,6060,7440
4460,2820,4160,6920,4100
5460,2800,5260,5380,6580
3040,1260,3980,5360,5280
4780,3860,6200,7560,6620
4840,5720,12060,11860,7440
2120,1020,1940,1640,1300
5160,3500,6140,5820,6140
2080,2380,8580,3480,4820
5500,1320,5760,4880,5680
5280,3680,5660,6580,6780
5100,4580,6920,5000,5940
2620,1580,2760,2000,1580
5340,2580,5980,9160,6300
4940,2820,5200,10340,7040
4140,2480,2400,3680,4220
5660,3900,6740,6820,7820
1820,1200,2580,3900,3980
5740,3520,5420,6180,6780
2340,1000,2140,3360,3520
4920,3880,6520,4960,4220
3560,1640,4380,5180,5620
4720,3140,5140,5560,5340
3920,2020,4520,4540,5420
5720,5400,7580,5880,6360
6160,3800,10360,8640,5660
4980,2740,6400,5960,6600
4220,2920,4660,3500,3600
6420,3380,7140,6520,9920
2700,1760,3200,3780,5000
4860,3960,5920,5140,6400
1600,1340,2600,3660,4400
3780,3800,4980,5560,5860
2000,2360,2660,4320,5640
4060,4600,7460,6600,6460
2060,2200,3020,2740,2640
4560,5500,6460,5680,7320
5380,4480,6980,8480,8440
3420,1460,1700,6760,5740
5380,3180,7500,5340,940
4480,3820,5860,6480,6480
2940,2140,2960,3080,3180
5040,3500,6320,6380,6620
2680,1080,1660,5900,4840
6540,4200,5820,6520,6940
3720,2340,3480,4360,4620
2860,1980,3120,2300,3420
2040,180,1300,1360,1360
120,0,280,0,340
380,360,360,280,640
1320,840,840,680,380
1860,1760,1500,2720,2520
1100,940,660,540,360
1860,1780,1640,2920,900
840,680,400,480,640
1900,1540,1780,1080,1080
1880,2160,1900,2660,1520
1000,400,540,860,440
1440,960,840,860,380
1560,1560,1360,1200,500
1280,1840,1720,1660,2560
1140,960,520,720,360
2320,1680,1660,1320,1780
2120,2240,1820,2000,2120
1880,860,2280,2540,2800
980,640,1200,1200,1220
760,740,1360,580,1040
980,1080,520,360,1000
2160,1120,1560,1360,1120
1320,1240,1500,1240,1860
1760,1860,1940,2180,3000
600,240,800,1200,1300
1120,200,1240,1200,1200
1100,600,400,760,1360
1040,880,360,360,360
1160,700,1160,1520,1360
2660,1960,2200,2180,1680
1240,780,2340,2520,2220
1200,800,1200,1400,1560
3280,800,1200,1800,1200
1960,1120,2020,1840,2000
1360,1900,1680,2320,2680
1360,260,1200,1200,1200
720,800,360,360,660
1440,740,1300,1500,860
2140,2400,1760,1960,1980
1440,0,2160,2260,2900
1280,1400,1200,1200,1720
2540,2720,1880,1020,460
1880,700,2060,760,1640
1720,1280,1500,1280,700
2000,820,1760,2160,2160
2240,2240,1920,1320,2560
1240,1580,1700,2360,2340
440,200,420,2500,2040
1200,940,1200,1200,1420
400,640,1380,1560,1200
1300,1580,2180,740,460
520,540,740,1060,1320
580,520,640,720,1360
1360,880,1180,600,680
2600,80,1360,1120,2420
1740,800,2600,3100,2940
2160,2440,1940,1920,2800
1800,1880,1420,1360,800
1180,1580,480,1680,1780
1780,1480,1400,1320,600
2440,1320,1520,2160,2160
1880,1960,2500,2640,2820
1200,1280,1200,1220,1580
460,600,920,1180,1240
1200,1360,1440,1680,2260
1200,160,1260,1180,1200
1060,560,400,780,1140
560,440,380,860,1320
1420,980,780,3820,360
1200,1440,1400,1600,2220
1260,1780,1360,1200,1200
1200,800,1200,1600,1820
1020,440,1340,1200,1200
1340,780,800,380,560
1780,840,1520,1460,880
1620,2560,1860,1580,2120
2160,2540,2240,1900,2000
960,800,1940,2380,2980
1220,820,1200,1200,1380
1560,1220,1740,1760,840
1560,1200,1360,2160,2160
2360,2300,1800,1860,1920
1580,500,1680,1560,1580
2340,2040,2120,920,2000
2000,1900,1180,1480,460
2100,500,2160,1920,1740
1440,1020,1080,2120,360
880,240,1360,1200,1200
580,280,1300,480,620
600,600,360,840,2980
1020,300,940,1200,1200
980,580,440,640,620
1920,2000,1840,1760,1220
820,600,1700,2080,2340
1040,160,1200,1240,1200
800,960,1240,1460,580
1460,460,720,1160,1320
740,500,300,1220,1360
1200,1200,1200,1380,1660
1240,1140,1360,1240,1200
1440,880,440,360,360
1000,520,1280,1440,860
1700,1240,2300,800,600
960,640,360,360,420
1300,1340,1500,1360,1200
2460,2380,2280,1800,2160
1960,1000,1940,1660,1760
2780,2480,2580,2200,1860
2600,400,2540,2800,3320
3060,1640,3160,2940,3480
5920,3300,5400,6160,6520
5380,8060,4720,5500,6320
3860,2480,3740,4380,6060
4940,4200,5900,4140,6960
4080,2620,5460,7000,6960
6380,3620,6660,6060,6500
4500,3020,5800,5640,9860
1560,2860,3080,2280,4400
6140,4260,6580,5720,7220
4900,2680,6040,6180,6740
3940,3900,6180,5940,5980
4880,2300,5600,5660,5800
5520,3640,6200,5840,6420
13920,4000,6960,6960,8940
5740,3120,7300,6460,6400
2760,760,3720,4260,4920
4240,4060,6120,6020,6700
2500,1940,4260,3860,4240
5740,3200,4500,5240,5260
6280,4140,5140,5720,5260
1840,2060,2320,3000,2840
4740,3600,5060,5660,6340
2640,1500,3540,2440,6100
4520,2660,2720,2740,5120
6960,3420,6700,5660,7240
1820,2580,1820,2320,4420
4560,4820,8260,5600,9660
5600,3340,5760,5320,5780
2800,1320,2280,3740,2720
5220,3020,6100,6020,6660
2860,1740,3260,2060,3740
5260,3420,6860,6180,7580
2000,1580,2860,6900,5480
3400,3200,4740,3180,2800
4060,3460,6500,5280,5720
2900,1540,2740,3460,4900
7000,2960,5420,4300,5680
5340,4120,7920,6020,6640
3160,2480,3000,3100,3980
6000,3480,6360,5700,7260
2540,2320,2300,1220,2680
4840,3500,6880,5980,6660
5920,2880,5120,3480,5600
4980,2960,5180,4520,8140
4580,3340,4160,3960,4340
1240,740,780,2180,480
160,280,420,0,580
1080,780,380,540,700
1160,160,1200,1200,3200
1200,1340,1200,1820,2420
1360,840,1440,1200,1200
740,600,660,480,1040
1740,1040,1520,980,960
1500,1940,1740,1740,2160
2320,2080,2080,1920,1940
1940,700,1920,1160,1900
900,960,1200,1520,2060
760,160,1320,1200,1200
880,600,360,2000,3200
1200,1800,1200,2060,2620
600,320,1200,1200,1260
360,460,440,540,440
2000,1640,1840,1600,860
1840,1780,1800,1920,2160
1200,940,1780,2280,3240
2840,1700,560,1060,1560
1320,780,2100,500,480
700,400,2500,1160,1300
800,280,800,1360,2280
1140,1160,1300,1200,3000
1360,0,1200,1520,1900
740,200,1240,1360,1280
1240,540,440,740,760
1800,1780,1500,1160,880
2160,1120,1960,1820,1360
1040,1800,1620,1300,1900
2440,1960,1940,1760,1960
2060,860,2920,880,2560
2400,2320,1920,2020,2160
1960,600,2080,2240,2320
1260,820,1200,1680,1900
1360,1180,1500,1200,2000
2580,300,2160,3480,3320
2720,1740,3220,3060,3880
5000,1500,4500,4920,5020
4920,3880,5840,5860,8400
5840,2760,5800,5780,7260
6040,4020,5840,5380,6480
9520,4180,6920,6740,9360
3320,2180,2980,2440,4700
7320,3940,5380,6080,6620
4720,2800,7000,7260,6080
3060,2380,3420,2600,4140
5300,2700,5820,7100,6820
5720,2120,1480,2720,7940
5320,4380,7240,7180,7240
4480,2600,2780,5240,5840
5520,4060,6460,8340,7220
5140,1920,6360,6240,5720
5880,2240,5020,4660,5060
5600,2680,6960,7320,7020
4220,3600,5380,5200,4940
6300,2400,7060,10740,6340
2340,1560,2300,3120,3140
6420,4120,6120,6560,7060
1700,2040,3600,3700,5500
7520,2940,6540,4460,5260
6080,3440,5720,6860,6300
4260,1420,3480,1840,5940
6460,3600,6320,5860,6060
6980,3400,6220,6660,7540
4020,2820,3680,3620,2880
5780,2580,6540,6020,6540
1720,1060,6320,6240,5180
3400,2380,3140,2580,4400
5780,2960,5620,4860,6000
3680,4100,4120,3740,4820
3260,3060,880,3620,4740
3840,3040,4060,6940,6700
4520,4580,7100,7600,6200
3220,2220,3880,4080,4080
5480,4440,7620,7240,6920
2880,2220,3000,3420,2280
6540,4560,6140,7260,6680
10320,1720,1760,2280,1980
3040,2520,2740,2320,2380
6720,3060,4960,6500,6420
2820,1820,2420,5760,7900
4960,4260,5320,6140,5820
3880,2320,3820,3380,2960
1660,1000,1460,940,680
1900,2100,2160,2800,1540
660,280,180,680,640
2160,1820,2100,1340,1120
3000,1360,2560,2420,1520
1260,1400,2220,1420,1480
2740,2320,980,800,600
1980,680,2240,1440,1980
2160,2340,2560,2440,2140
2180,1540,1800,1540,1760
1420,2120,2040,2040,2760
2000,2680,2400,2420,2400
1120,760,1720,2040,2740
1220,820,1200,1200,1240
940,280,960,920,1200
1200,1060,1200,1420,1860
920,960,960,900,1180
700,920,960,960,1100
1480,800,720,360,360
1240,1640,2060,1560,1620
1920,2880,2400,2400,2280
2780,420,2440,980,2160
2400,2420,1900,2160,2180
2360,1260,2220,2420,2120
1540,1280,1180,1580,1620
2420,3020,2340,2260,2160
3180,1360,2460,580,2200
1960,780,1300,1100,1620
1940,800,2040,500,2020
1720,1660,2820,1540,2340
1420,2460,680,600,560
1260,280,960,980,1200
1240,1080,400,960,960
2960,1740,3560,3340,3380
3060,920,3480,3060,3840
3860,3160,5240,5360,5880
5300,3000,6880,5080,9220
5040,4220,6380,5960,7160
3400,2940,3560,4960,6000
4920,4120,5740,5860,6560
6820,2280,5280,6200,5820
4320,1800,440,2540,3200
5380,3800,5500,8580,5180
6100,3120,5360,7340,7100
4140,3000,5020,4120,3980
6280,3420,6480,5800,6460
6980,2320,5620,2540,5500
6080,3240,5900,6540,5580
5520,2980,6260,7220,7300
3860,2560,4700,3680,3520
5780,3300,5780,6020,5420
4440,2920,4800,4620,4260
4340,3660,7320,9500,6240
3060,3340,5940,6880,6780
5540,3380,7140,5320,4600
6720,3140,5540,5460,5540
5960,1760,3680,7400,3960
4680,2880,5300,5740,4820
5980,2700,5720,6520,10140
5040,1260,6260,6120,6420
5860,3240,5800,5800,5320
5500,3180,6320,6020,6520
3660,1480,8100,5560,5940
5520,3720,5900,3820,5000
6000,3100,5200,6480,6740
4260,2600,9200,6620,7280
1880,1880,2780,2520,2620
3840,4480,7120,7060,6920
4580,2700,7580,3340,3420
5660,6700,4340,6380,6980
4280,3920,4940,4380,6100
3200,2360,3360,2680,3380
4140,4340,6300,6320,6920
4060,2200,4480,3260,3620
3920,3600,5900,4880,6080
5440,2700,8300,4440,8940
2320,2960,3160,6360,3400
5780,2640,5820,7360,6140
4680,2780,4520,4880,7600
1300,660,560,1400,820
900,740,440,520,160
200,160,200,200,820
960,940,920,380,500
2160,1080,2100,1800,1320
1860,1920,2140,2560,1520
1320,1140,740,1880,360
180,580,260,740,740
780,360,160,440,560
2460,640,2520,2320,940
1200,840,1200,1460,3000
2300,1000,2620,2720,2720
2560,2280,2000,1740,1840
1600,1260,1060,860,740
1740,1300,880,1960,2120
2140,1760,2940,2700,2860
1200,0,1200,1520,1920
260,440,720,2060,940
1800,1060,1520,1640,2240
440,800,1040,1260,2420
720,0,1020,1200,1200
980,1000,1840,360,1700
860,320,1200,1200,1680
760,320,960,920,1200
1240,1140,780,540,360
2180,520,2160,820,1400
2360,5380,2160,1500,1140
2280,500,2000,1400,320
2160,1280,1120,1660,820
2120,680,1740,1880,1480
1900,2020,2680,2720,2660
3060,1200,2960,2600,2300
2160,600,1960,1660,1120
3120,2360,2400,1920,2240
2220,40,2760,2640,2400
1200,800,1200,1760,2360
780,220,680,1100,1160
1200,0,1200,1520,2140
160,360,440,1800,840
1020,260,3360,3000,3200
2020,1160,2040,1380,1180
2480,2480,2400,2320,2160
3120,1500,2600,2600,3060
1800,1200,2080,2080,2240
1640,1140,2900,2420,2800
1220,0,1200,1520,1920
520,800,800,860,1120
680,340,360,3620,260
1900,600,2020,660,420
2560,1760,1760,2160,1960
2580,1660,2120,2220,2160
1760,1820,1600,2400,2140
1480,1580,1520,1980,2560
800,0,1960,1520,2480
920,320,2980,2760,2200
1380,1540,1920,1840,2440
260,180,960,840,1220
580,1260,200,220,400
480,160,940,980,1200
1200,460,440,260,160
1600,1440,2640,880,920
40,0,1220,1200,1200
1120,460,1200,1200,1460
440,640,1360,1560,3100
740,200,1200,920,1840
820,420,1200,1200,1200
900,920,360,280,1280
160,220,3020,2220,940
1800,1520,1960,2640,2760
400,280,800,1200,1580
160,440,800,3060,2900
1200,1440,1480,1520,1980
1520,1420,1520,2160,2620
1200,740,1200,1320,1700
280,400,780,1160,1800
540,380,220,540,700
1560,800,1200,1200,1460
940,800,840,480,1200
840,860,1200,1280,1360
1620,0,2600,2660,2860
1200,800,1340,1240,2100
880,160,940,1080,1200
1040,920,280,240,440
1580,320,3300,3000,640
2260,2460,3000,2880,2880
760,600,1200,1400,1720
220,500,500,900,1120
1420,800,800,720,260
2460,1560,1200,1240,640
1060,320,1320,1360,1300
380,360,160,660,960
1220,800,1000,580,360
1740,1780,1620,660,2240
1220,1060,660,1520,800
480,380,880,840,1980
1560,700,1260,620,620
720,720,1500,1700,1200
960,1440,160,320,460
1360,1260,880,3000,1880
3200,0,1300,1700,2200
1440,1060,1880,1700,3200
1840,2040,2980,3000,3000
240,0,3200,1700,2300
1520,1880,1780,2140,2620
1140,780,1060,1200,760
2360,1820,3020,2380,1480
520,160,960,1520,2080
720,680,1120,1300,1580
720,160,980,900,880
1060,880,740,600,360
2340,1340,2000,1880,1860
2300,2360,3020,2680,2760
1680,200,1880,3200,3240
960,800,1200,2280,3200
880,920,1200,1280,1520
160,160,820,940,940
1120,880,860,420,200
1940,1820,2160,1280,1500
2540,2340,3040,2400,2620
880,1180,1700,2240,3000
940,960,1180,1540,1580
420,160,1040,1040,1200
2040,600,360,1940,2240
960,200,1340,1520,1840
1980,160,1040,980,1200
1220,660,1200,3080,3200
1520,1460,1900,2120,2660
800,800,1120,1520,1740
1680,1580,2300,3200,3120
1520,0,2780,2760,2740
1680,1600,2360,2020,2080
1400,1540,1760,1960,2300
1520,440,2740,2520,2580
1520,1440,1780,1960,2580
1100,0,1200,1240,1340
360,360,160,240,360
1800,660,1460,1320,960
1960,2400,2300,1880,2060
2460,0,2660,2280,2280
1520,1740,2420,2420,2700
1200,1460,1520,1640,1920
600,600,1040,1060,1820
880,800,1200,1200,1420
1520,2180,520,2540,2480
1200,880,1400,2420,2160
2060,2180,1840,1400,1120
2920,1740,2000,2400,2160
2260,2440,2260,2520,2240
1740,1860,1260,1440,860
960,800,960,960,960
980,0,1200,3280,1520
1520,1900,2040,2680,2380
2760,2400,1900,3360,3360
2580,2320,2400,2300,1840
700,60,3440,960,1200
800,440,1920,1540,1720
2000,2160,2040,1760,1380
1960,960,2140,2280,2160
2840,1380,1960,2560,2400
2140,2040,2160,2080,1820
2700,760,2700,1960,2520
2620,2760,2320,2460,2580
1480,2340,2240,1880,1840
1640,1300,2160,2140,2060
1520,1660,1980,3080,2760
1520,0,2760,2380,3360
1540,1220,1840,1880,1980
2040,2440,1940,1960,2220
1300,520,1900,1960,2760
1000,800,1200,1520,1540
720,600,1360,1300,1100
820,780,600,840,1080
1320,600,1100,1220,620
1460,1120,600,740,860
600,660,880,880,860
660,720,600,600,700
2160,2180,2000,2460,1500
600,100,2480,2560,1180
1400,600,880,1340,1200
1240,1960,600,600,960
880,580,1080,1080,1060
360,60,1200,1240,1520
600,680,2720,1000,1120
1340,900,1400,1200,1260
1260,1120,600,1400,2120
1280,680,880,940,1580
600,600,1080,3320,1400
1200,1520,1360,1460,3360
1560,1920,2440,2320,2700
0,200,500,1140,1520
740,600,600,660,1060
1560,1680,1480,1400,1140
1940,2220,2160,2100,2160
1200,1120,1460,2780,2760
960,820,1200,1520,1640
600,860,980,1020,1020
1500,1260,1220,1180,600
1640,1720,1880,1440,2100
1740,640,2740,2460,2100
800,800,1100,1520,2040
920,940,960,1020,1200
900,840,600,640,840
1840,1000,600,600,600
1100,760,1440,1880,1840
2560,2380,3280,2420,2040
2320,1060,2060,1800,2120
2200,2760,2400,2120,2480
2040,1940,1980,1860,2160
1360,800,2260,1220,2500
2340,1980,1960,1880,2140
1860,340,2160,2040,1820
1880,2240,2420,2040,2700
1520,1560,2560,2540,2760
120,440,980,1100,1520
980,960,640,900,1320
1360,1040,1020,1300,880
2100,1900,1940,680,1240
1520,1080,1340,1140,1260
1600,1700,2560,1520,960
1480,840,960,2840,3040
1120,960,1200,1960,2880
1920,900,2540,2080,2520
2600,2560,2480,2460,1780
2140,2300,1960,1840,1740
1520,1340,1260,1700,2020
1520,1480,2000,2600,2700
420,0,1320,1720,1820
980,960,2760,960,1020
2460,2140,2760,2420,2320
800,800,1200,1520,2120
960,920,900,1020,1200
1040,720,600,900,880
1560,1280,1000,840,600
1180,2340,2160,1140,1040
2340,1680,2140,1740,1600
2760,460,2420,2260,1280
1900,200,1760,1400,900
1320,1000,840,660,600
2300,1160,1460,2100,1760
1560,2100,2300,2120,1940
2160,1420,1840,980,1400
1500,920,900,600,600
1440,1500,1780,1220,1160
1540,400,2620,1680,2260
2240,2180,2620,2660,1260
2300,2000,2500,1480,1380
1260,640,1400,1760,2260
2300,1960,2160,2260,1840
2060,1120,2500,2400,1960
1200,1240,1360,1800,1980
1040,360,1140,900,1100
960,1040,600,600,600
1800,1100,2000,1280,1540
2480,1320,2260,1800,1700
1520,560,3360,2840,3300
1800,1000,1260,600,680
2200,2240,1600,1760,1460
1180,800,600,600,800
1100,520,1140,2520,1560
2980,780,880,1760,2180
2600,2360,2480,2260,1900
1520,0,2240,2160,2600
1240,2120,1980,1780,1960
1760,1100,200,600,600
1700,1300,600,620,600
1800,1500,2160,2120,1880
1880,2100,2240,2160,2040
1480,840,2020,2320,2480
2100,2240,2900,2380,2440
1180,0,1340,1760,1760
780,900,1200,960,1500
1060,100,780,940,900
1180,820,600,600,600
2160,920,1720,1300,1320
1280,1900,2220,1860,2100
2020,2180,2720,2080,2180
940,1500,1460,2060,2380
2040,1860,2020,1500,1280
2500,1240,1140,1260,1800
760,660,740,1180,1160
1560,1720,1340,1380,740
2780,960,1960,1640,1840
2440,2340,2720,2460,2000
1260,0,3260,2660,2200
1400,1820,2060,2020,2160
1760,1980,2200,2540,2660
580,0,1240,1640,1960
1040,1200,1160,2760,1360
1280,640,1240,1640,2040
840,600,1200,760,1060
1260,760,600,820,600
2360,2200,1980,1640,1280
2160,1500,2000,2320,2160
1600,1880,2760,1640,2760
3520,1120,240,1080,960
1560,2180,2440,2560,3360
2460,2360,3760,1980,2020
820,840,2740,880,2840
2900,0,1200,1520,2800
1460,1080,1480,2540,1200
1100,900,600,600,800
5960,800,600,720,600
1220,880,600,680,900
600,400,1080,1200,2760
2520,0,1480,2320,1960
1520,1760,2220,2240,1840
2100,2480,1220,2220,900
2020,1520,1660,2220,2140
1700,2240,3360,3360,2700
2320,1480,1940,1880,1900
1940,2220,2140,1740,2600
1600,2120,2340,2160,2180
1300,800,600,600,680
1420,2140,2260,740,1060
740,500,1100,700,1460
920,640,700,800,980
1800,1780,2520,1400,800
1080,1240,600,640,1000
1740,2840,1740,1920,1040
460,360,560,2040,1580
980,1180,1120,1960,2100
1220,0,2480,1740,1580
1640,1180,1480,1280,760
2040,2760,2400,2200,2160
2340,420,2480,2540,2300
1240,1300,2080,1600,1740
2280,2220,1960,1780,2040
1300,680,2060,1800,2680
980,1180,1200,1520,3100
3160,760,1120,1980,600
1580,1600,1700,1560,1840
2240,2220,3240,2160,2040
2820,560,2380,2160,2000
1920,1920,980,1820,2760
1660,400,1800,1640,2480
2400,1920,2040,1840,1680
1840,1880,1220,1260,1880
1220,580,1320,3100,1660
460,220,540,1200,1320
940,660,600,660,940
1700,1620,1500,1400,1060
2100,2080,600,2360,2160
1540,620,1260,1540,1380
2160,1660,1920,2160,2200
2240,1420,2760,2660,2360
1720,2120,2300,2080,2160
1940,2240,3360,2760,1260
2020,1340,2260,1580,2140
2700,2680,1760,1740,2140
2340,1920,2160,2000,1840
1400,740,1140,2120,2140
600,600,600,2140,1200
1280,680,1080,1920,2240
1420,160,1480,880,1520
960,860,600,720,2760
720,1040,960,1060,2760
1040,0,1200,1340,1520
680,880,1480,1100,1620
1040,740,780,920,1000
600,600,560,1400,1820
600,520,1500,1500,1200
1040,800,600,600,780
1260,1540,700,600,1000
1540,1440,1500,2320,600
1240,980,600,2560,2760
700,900,880,960,1160
1000,220,600,1480,2800
2320,2060,2800,2920,2600
2400,2200,2160,4680,4580
1060,880,1520,1840,2220
3260,2840,2760,1200,2240
1260,0,1800,2040,2320
960,960,940,960,1140
2400,540,600,800,1660
600,720,900,580,2880
1680,3880,2400,1680,1840
2260,2320,920,920,1360
1200,840,1180,640,600
2040,1960,2160,1840,1760
2140,40,2080,2300,2740
2240,2020,2100,1840,1800
2500,1600,2380,2920,2440
1280,940,2000,2400,2740
820,200,1320,1660,1940
600,900,3120,720,700
